标签,地址,面积,方位,户型,楼层,特征
"
          整租・康乐小区(徐汇) 1室1厅 南        ",徐汇-康健-康乐小区(徐汇),        36O,        /南        /,          1室1厅1卫        ,          低楼层                        （4层）,近地铁-新上-随时看房-
"
          整租・长桥一村 1室0厅 南        ",徐汇-长桥-长桥一村,        29O,        /南        /,          1室0厅1卫        ,          中楼层                        （5层）,精装-新上-随时看房-
"
          整租・光华园 1室1厅 南/北        ",徐汇-上海南站-光华园,        52O,        /南 北        /,          1室1厅1卫        ,          低楼层                        （6层）,新上-随时看房-
"
          整租・华建一街坊 2室1厅 南        ",徐汇-华泾-华建一街坊,        56O,        /南        /,          2室1厅1卫        ,          高楼层                        （6层）,随时看房-
"
          整租・长桥三村 2室1厅 南        ",徐汇-长桥-长桥三村,        58O,        /南        /,          2室1厅1卫        ,          中楼层                        （6层）,随时看房-
"
          整租・长桥一村 1室0厅 东南        ",徐汇-长桥-长桥一村,        42O,        /东南        /,          1室0厅1卫        ,          高楼层                        （6层）,精装-随时看房-
"
          整租・汇成二村 1室0厅 南        ",徐汇-上海南站-汇成二村,        33O,        /南        /,          1室0厅1卫        ,          高楼层                        （6层）,精装-随时看房-
"
          整租・田林十二村 1室1厅 南        ",徐汇-田林-田林十二村,        30O,        /南        /,          1室1厅1卫        ,          中楼层                        （6层）,近地铁-随时看房-
"
          整租・上中路458弄 1室1厅 南        ",徐汇-植物园-上中路458弄,        38O,        /南        /,          1室1厅1卫        ,          高楼层                        （6层）,随时看房-
"
          整租・汇成五村 2室1厅 南/北        ",徐汇-上海南站-汇成五村,        59O,        /南 北        /,          2室1厅1卫        ,          高楼层                        （6层）,随时看房-
"
          整租・日晖二村 1室1厅 南        ",徐汇-斜土路-日晖二村,        38O,        /南        /,          1室1厅1卫        ,          低楼层                        （5层）,近地铁-随时看房-
"
          整租・田林十四村 1室1厅 南        ",徐汇-田林-田林十四村,        37O,        /南        /,          1室1厅1卫        ,          高楼层                        （6层）,近地铁-随时看房-
"
          整租・楼园小区 2室1厅 南        ",徐汇-上海南站-楼园小区,        61O,        /南        /,          2室1厅1卫        ,          中楼层                        （6层）,新上-随时看房-
"
          整租・凌云新村 2室1厅 南        ",徐汇-华东理工-凌云新村,        66O,        /南        /,          2室1厅1卫        ,          中楼层                        （6层）,近地铁-新上-随时看房-
"
          整租・橡胶小区 1室1厅 南        ",徐汇-徐家汇-橡胶小区,        37O,        /南        /,          1室1厅1卫        ,          中楼层                        （6层）,近地铁-新上-随时看房-
"
          整租・海防新村 1室1厅 南        ",浦东-洋泾-海防新村,        30O,        /南        /,          1室1厅1卫        ,          高楼层                        （6层）,新上-随时看房-
"
          整租・南丹小区 1室1厅 东南/南        ",徐汇-徐家汇-南丹小区,        37O,        /东南 南        /,          1室1厅1卫        ,          低楼层                        （7层）,近地铁-随时看房-
"
          整租・淡水路442弄 2室1厅 南        ",黄浦-新天地-淡水路442弄,        46O,        /南        /,          2室1厅1卫        ,          中楼层                        （6层）,近地铁-随时看房-
"
          整租・陈家宅小区(浦东大道) 1室0厅 南        ",浦东-金桥-陈家宅小区(浦东大道),        38O,        /南        /,          1室0厅1卫        ,          低楼层                        （6层）,精装-随时看房-
"
          整租・老西门新苑 1室2厅 南        ",黄浦-老西门-老西门新苑,        84O,        /南        /,          1室2厅1卫        ,          高楼层                        （35层）,近地铁-随时看房-
"
          整租・丰裕里 2室1厅 南        ",黄浦-新天地-丰裕里,        60O,        /南        /,          2室1厅1卫        ,          中楼层                        （3层）,近地铁-精装-随时看房-
"
          整租・百龙小区 2室1厅 南        ",徐汇-植物园-百龙小区,        85O,        /南        /,          2室1厅1卫        ,          高楼层                        （15层）,随时看房-
"
          整租・马当小区 2室1厅 南        ",黄浦-新天地-马当小区,        62O,        /南        /,          2室1厅1卫        ,          中楼层                        （27层）,近地铁-精装-随时看房-
"
          整租・华松小区 2室1厅 南        ",长宁-北新泾-华松小区,        82O,        /南        /,          2室1厅1卫        ,          高楼层                        （6层）,近地铁-新上-随时看房-
"
          整租・百龙小区 2室1厅 南        ",徐汇-植物园-百龙小区,        85O,        /南        /,          2室1厅1卫        ,          低楼层                        （15层）,精装-随时看房-
"
          整租・康健路77弄 2室1厅 南        ",徐汇-康健-康健路77弄,        51O,        /南        /,          2室1厅1卫        ,          高楼层                        （6层）,近地铁-随时看房-
"
          整租・田林十一村 2室0厅 南        ",徐汇-田林-田林十一村,        50O,        /南        /,          2室0厅1卫        ,          中楼层                        （6层）,近地铁-精装-随时看房-
"
          整租・光华园 2室1厅 南        ",徐汇-上海南站-光华园,        62O,        /南        /,          2室1厅1卫        ,          低楼层                        （6层）,精装-随时看房-
"
          整租・吴中公寓 1室1厅 南        ",徐汇-田林-吴中公寓,        62O,        /南        /,          1室1厅1卫        ,          中楼层                        （22层）,近地铁-精装-随时看房-
"
          整租・日晖一村 1室1厅 南        ",徐汇-斜土路-日晖一村,        41O,        /南        /,          1室1厅1卫        ,          中楼层                        （5层）,近地铁-随时看房-
