招聘条数,职位,薪水,学历要求,工作经验要求,招聘详细页url,详情,是否全职,公司名,公司类型,公司规模
13,急聘：（python爬虫开发工程师）,6K-8K,大专,不限,https://jobs.zhaopin.com/CC890279800J00160049715.htm,"注：因公司业务拓展急需大量优秀人才, 本岗位是真实正规招聘！职位要求：1. 18岁-30岁，对软件行业有着浓厚的兴趣，有意从事python爬虫开发工作2. 毕业生亦可(有人带)，做事踏实、悟性高、学习能力强、积极向上3. 会基本的办公软件操作，有一定的编程基础4. 爱岗敬业，有良好的工作态度和团队合作精神办公地点：邯郸(邯山区, 丛台区, 复兴区, 峰峰矿区)均有分点, 正式员工可与上级沟通择近办公福利待遇：1. 薪水：具有行业竞争力薪水，底薪+提成+项目奖金+年底双薪2. 福利：住房公积金、养老、医疗、工伤、失业、生育3. 假期：享有多天带薪年假，法定节假日休息和国家规定一致4. 旅游户外活动：公司不定期会为员工组织户外活动、旅游活动",全职,石家庄亿恩办公设备有限公司,民营,100-499人
13,Pythong人工智能及网络爬虫实习生,6K-8K,大专,不限,https://jobs.zhaopin.com/CZ810209490J00193466711.htm,任职要求：1、理工科优先，所含专业包括计算机、软件工程、网络、自动化等；2、年龄20—28岁3.无相关工作经验的各个方��综合能力强的由师傅手把手带，但必须愿意长期往python人工智能及数据分析方向发展。岗位职责：1、负责日常销售数据以及其他相关部门数据的采集与整理，以不同形式呈现；2、对不同顾客群进行分析；3、有很强的数据敏感度，及时发现数据存在的异常，并协调解决；4、具备严格的保密意识和纪律观念，有团队合作精神；5、具备较强思维逻辑和数据敏感度，善于使用各种数据分析和统计工具。福利待遇：1、五险一金、5天7.5小时工作制、双休；2、提供住宿（能力出众者）；3、全勤奖金，不迟到早退逐月累积（1000为上限）；4、过生日的员工、有公司生日派对、生日礼物以表祝福；5、公司提供微波炉、饮水机、冰箱等便捷设备；,全职,河北鹿宸网络科技有限公司,民营,20-99人
13,python开发/助理/双休,4K-6K,中专,不限,https://jobs.zhaopin.com/CC886858610J00167226014.htm,职位描述：任职资格1中专以上学历，可接收应届毕业生2对互联网行业感兴趣非销售类职位3有较强的学习能力，理解和逻辑分析能力。4有责任心和团队精神福利待遇1五险一金养老失业工伤医疗生育公积金2享受以上福利待遇外还将享受带薪年假病假婚假丧假产假等国家法定节假日。3公司有良好的晋升空间，入职后签订劳动就业合同,全职,邯郸市恩胜网络科技有限公司,民营,20-99人
13,测试工程师/测试主管,3K-5K,本科,1-3年,https://jobs.zhaopin.com/CC256700030J00082543811.htm,岗位职责：1：从事软件产品的功能、性能测试和安全性测试；2：建立、维护测试工作的相关文档，编写测试计划，具备组织测试工作的能力；岗位要求；1、本科及以上学历，计算机相关专业，两年以上测试相关工作经验；2、精通安卓、Linux系统（部署测试环境，编写shell、python等脚本）；3、能够熟练使用测试主流工具，有性能或白盒测试测试经验；4、熟练缺陷管理、测试管理工具，熟悉自动化和性能测试；  ,全职,北京盛世政通软件发展有限公司邯郸分公司,民营,100-499人
13,数据分析专员,3K-6K,本科,3-5年,https://jobs.zhaopin.com/CC520831528J00193719811.htm,岗位职责：1、负责日常的数据分析工作，对分析结果有深刻见解，并形成简明扼要的分析报告，提高运营效率；2、了解公司业务，并根据需要定期或者不定期统计收集各类数据，分析业务运营数据并确保数据指标完备性和正确性；3、通过数据分析，为业务决策提供数据支持；4、国内5大电商平台对标数据整理，出具相应报告。任职要求：1、本科及以上学历；2、3年左右互联网公司数据分析经验，优先考虑；3、熟悉使用Excel等office工具，熟悉Google  sheet、SQL、Python数据分析软件，优先考虑；4、有订单运营、用户运营等相关经验者优先；5、数据敏感度高，逻辑分析能力强；6、良好的沟通表达能力，工作细致认真，能快速响应业务需求。,全职,兴华财富集团有限公司,民营,1000-9999人
13,环境咨询工程师,6K-8K,本科,不限,https://jobs.zhaopin.com/CC347042881J00131599812.htm,技能要求：环境咨询，Python 岗位职责1、 根据业务规划的要求，对各类气象和环境相关数据的调研、收集、整理、并进行初步的分析和评估。2、 负责客户业务数据分析，定期为客户提供气象和环境相关数据分析报告。 任职要求1、 气象、大气科学、地理、环境等相关专业统招本科及以上学历。2、 具有环保领域有相关研究或项目经验者优先。3、 具备python、NCL、R等编程及制图工具者优先。4、 熟练掌握PPT、EXCEL、WORD等办公软件。具备优秀的文档能力，使用文字、图示清楚地表达架构意图，能够熟练编写各类技术文档。5、 良好的沟通理解能力，表达能力强，思路清晰，条理清楚6、 良好的团队合作意识，工作责任心强，能吃苦耐劳,全职,北京英视睿达科技有限公司,民营,100-499人
13,网络爬虫(人工智能)实习生双休五险一金,4K-6K,大专,不限,https://jobs.zhaopin.com/CZ810209490J00193912411.htm,"职位描述1. 18岁-30岁，对软件行业有着浓厚的兴趣，有意从事python爬虫开发工作2. 应届毕业生亦可(有人带)，做事踏实、悟性高、学习能力强、积极向上3. 会基本的办公软件操作，有一定的编程基础4. 爱岗敬业，有良好的工作态度和团队合作精神办公地点：公司总部设立于邯郸，子公司分布各个辖区，正式员工可与上级领导沟通择近办公福利待遇：1. 每年的拓展旅游等2. 可提供免费住宿(转正后)3. 购买养老保险+医疗险+生育险+工伤险+失业险4. 周末双休, 员工依法享受国家法定节假日、婚假、丧假、产假、带薪年休假等",全职,河北鹿宸网络科技有限公司,民营,20-99人
13,信息课老师,8K-10K,本科,1-3年,https://jobs.zhaopin.com/CC852284100J00124121610.htm,1. 负责中小学计算机编程课程的教学工作，负责Python C语言 C++教学工作；具有程序设计相关工作经验； 2. 需要较好的逻辑能力，口语表达与互动能力！3. 具备较强的计算机基础能力；4.有一定的创新能力，善于主动寻找课程的价值。,全职,邯郸市爱编程教育培训学校,民营,100-499人
13,后端开发实习生双休包住,4K-6K,大专,不限,https://jobs.zhaopin.com/CZ810209490J00196020711.htm,"职位描述  1.对技术充满了热情  2.有很强的学习能力，对新鲜的技术保持好奇和饥渴（我们对新技术的接受和采纳程度是很高的）  3.善待产品经理（重要）  4.勇敢面对自己造成的BUG，无论是程序上还是工作上  5.有一颗不断挑战自己极限并超越自己的心  6.对自己的作品充满成就感  软件开发工程师专精属性：  1.熟悉.NET（目前主要采用.NET Core）基础框架，熟悉C#开发语言（精通更好），熟悉相关开发环境。  2.熟悉常见的框架库（商业或开源）,例如MVC、WPF、SignalR、Orleans等。  3.熟悉html/css/javascript。  4.熟悉jquery、angularjs（1.x）等js库。  5.至少熟悉一种数据库的开发和设计（PostgreSQL（目前我们主要采用此数据库）、Oracle、MySQL、MSSQL）。  6.具有良好的面向对象编程思想。  7.熟悉一定的设计模式。  8.熟悉一定网络基础知识及Linux系统相关操作（或Docker的基本使用）。  9.对多种开发语言熟悉者（Python、Go等）优先考虑。  达不到公司招聘技术要求的应聘者，可自愿选择是否参加公司提供的岗前技能提升计划",全职,河北鹿宸网络科技有限公司,民营,20-99人
13,后端开发,3K-6K,大专,3-5年,https://jobs.zhaopin.com/CZ897599610J00104116813.htm,岗位职责：1、参与产品组件的需求分析与设计；2、负责产品的基础构架设计、开发和升级维护；3、独立负责Android/ios系统后台服务器端应用程序开发与维护，并提供接口文档；4、根据产品需求完成模块设计、编码、测试工作；5、能按照项目计划，按时提交高质量的代码，完成开发任务；6、独立完成大型网站网页等后台服务设计开发、存储、测试等工作；7、负责后台等相关文档的编写工作。任职要求：1、计算机相关专业，专科以上学历，三年以上服务端工作经验；2、了解Android/ios前端软件的构架设计和程序开发；3、有一定的数据结构设计能力，有扎实的java/JavaScript/C+/C++/python等编程语言基础，熟悉面向对象化编程思想和设计模式，熟悉面向对象化编程思想和设计模式，熟悉powerdesigner设计工具；4、熟悉mysql、postqresql、oracle、mongodb中一种数据库开发经验；5、有php类项目和网站服务平台的开发经验；6、善于沟通，具有团队意识，技术攻克能力强。,全职,邯郸市丛台区伏羲贸易有限公司,民营,20-99人
13,人工智能开发工程师,4K-6K,大专,不限,https://jobs.zhaopin.com/CZ810209490J00195943911.htm,"职位描述1. 18岁-30岁，对软件行业有着浓厚的兴趣，有意从事python爬虫开发工作2. 应届毕业生亦可(有人带)，做事踏实、悟性高、学习能力强、积极向上3. 会基本的办公软件操作，有一定的编程基础4. 爱岗敬业，有良好的工作态度和团队合作精神办公地点：公司总部设立于邯郸，子公司分布各个辖区，正式员工可与上级领导沟通择近办公福利待遇：1. 每年的拓展旅游等2. 可提供免费住宿(转正后)3. 购买养老保险+医疗险+生育险+工伤险+失业险4. 周末双休, 员工依法享受国家法定节假日、婚假、产假、带薪年休假等",全职,河北鹿宸网络科技有限公司,民营,20-99人
13,程序员,4K-6K,大专,1-3年,https://jobs.zhaopin.com/CC468637528J00146282901.htm,"岗位职责：负责按照要求爬取美国法院案例信息。任职要求：1、3年以上Python爬虫经验，有丰富的数据爬取、解析、清洗、存储相关项目经验，掌握反爬虫技术及其突破方案2、能熟练运用正则表达式、XPath、XML、Json等解析技术从结构化的和非结构化的数据中获取信息3、掌握elasticsearch等索引服务原理、使用、调优；4、熟练使用 Git，熟悉 Pull Request 或 Gitflow 工作流5、有英语基础，能够熟练使用英语发邮件及进行口语交流者优先待遇：1、每周双休（休周日和周一）；2、上班时间：早8:00至晚17:00,中午休1小时；联系电话：***********",全职,邯郸快例软件开发有限公司,外商独资,100-499人
13,PHP开发工程师,70K-100K,大专,3-5年,https://jobs.zhaopin.com/CC295916035J00171112515.htm,1、大专以上学历，一年以上PHP开发经验，如应聘高级程序员需有两年或以上工作经验；2、反映灵活，有较强的学习能力和表达能力；3、精通MySQL数据库系统；4、精通PHPstorm、Netbeans 开发工具使用；5、精通HTML语言，熟练使用javascript、jquery、Bootstrap；6、有使用主流框架开发经验，熟悉 Yii framework，Thinkphp 或Lnmp分布式架构开发。7、良好的团队协作精神。8.、熟悉Python或Shell优先考虑；,全职,河北东振网络科技有限公司,民营,20-99人
